iter	Passed	Remaining
0	1	127
1	2	118
2	3	119
3	4	113
4	6	115
5	7	114
6	8	114
7	9	113
8	11	112
9	12	111
10	13	110
11	14	108
12	16	107
13	17	106
14	18	104
15	19	103
16	20	101
17	22	101
18	23	100
19	24	99
20	26	98
21	27	96
22	28	95
23	29	94
24	30	92
25	32	91
26	33	90
27	34	89
28	35	88
29	37	87
30	38	85
31	39	84
32	41	83
33	42	82
34	43	80
35	44	79
36	45	78
37	47	76
38	48	75
39	49	74
40	51	73
41	51	71
42	52	69
43	53	68
44	55	67
45	56	66
46	57	64
47	58	63
48	60	62
49	61	61
50	62	59
51	63	58
52	64	57
53	65	56
54	66	54
55	67	53
56	69	52
57	70	51
58	71	49
59	72	48
60	74	47
61	75	46
62	76	45
63	77	43
64	79	42
65	80	41
66	81	40
67	82	38
68	84	37
69	85	36
70	86	35
71	87	34
72	89	33
73	90	31
74	91	30
75	92	29
76	94	28
77	95	26
78	96	25
79	97	24
80	99	23
81	100	22
82	101	20
83	102	19
84	104	18
85	106	17
86	107	16
87	108	14
88	109	13
89	111	12
90	112	11
91	113	9
92	114	8
93	116	7
94	117	6
95	118	4
96	120	3
97	121	2
98	122	1
99	123	0
